request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256.0,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,"Pay ZAR 25,256 today. This leaves at least ZAR 18,000 available over the next 90 days."
request_02,17229139.2,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,none,"Use 3 installments of IDR 15,952,906.67, starting 8 August 2025. This leaves at least IDR 29,158,400 available."
request_03,1157048.76,affordable_later,wait,2019-11-15:5491000,2019-11-15,none,"You currently have IDR 5,810,300.00, but your committed expenses between now and your next income leave insufficient buffer (IDR 1,157,048.76 available vs IDR 5,491,000.00 needed). After your upcoming income is received, you will be able to make the full payment on 2019-11-15. We recommend waiting until then."
request_04,8401800.0,affordable_later,wait,2024-06-15:12693000,2024-06-15,none,"Wait until 15 June 2024, then pay IDR 12,693,000 in full. Paying sooner would put the IDR 30,686,600 minimum at risk."
request_05,737.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 January 2026. None of the available options keeps the ZAR 13,100 minimum protected."
request_06,603.3,affordable_with_plan,full_payment,2026-01-03:620.40,2026-01-15,stop:event_476,"Stop the family streaming plan, then pay EUR 620.40 today. This leaves at least EUR 800 available."
request_07,87170.56,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,none,"Use 3 installments of INR 68,432, starting 12 September 2024. This leaves at least INR 93,000 available."
request_08,284.57,affordable_later,wait,2025-04-15:996.60,2025-04-15,none,Pay EUR 996.60 in full on 15 April 2025. Paying earlier would take the balance below the EUR 800 minimum.
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This keeps the EUR 600 minimum available over the next 90 days.
request_10,12700.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 February 2025. None of the available options keeps the INR 225,400 minimum protected."
request_11,0.0,not_affordable,not_recommended,none,,none,"Your current balance of IDR 63,531,795.00 is insufficient to safely cover IDR 13,110,000.00 while maintaining your IDR 34,140,600.00 minimum reserve and covering committed expenses. Even with adjusted spending, no safe payment path exists within the required timeframe. We recommend deferring this expense or revisiting it when your financial situation improves."
request_12,65164.0,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use 3 installments of ZAR 22,590.19, starting 19 April 2026. This leaves at least ZAR 43,200 available."
request_13,433.4,affordable_later,wait,2024-05-15:941.60,2024-05-15,none,"Pay EUR 941.60 in full on 15 May 2024. Paying earlier would take the balance below the EUR 1,300 minimum."
request_14,597.74,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 5,414.20 request. Although EUR 597.74 is available today, the full amount cannot be completed safely within 90 days."
request_15,83.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 February 2026. None of the available options keeps the EUR 1,200 minimum protected."
request_16,122500.0,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,"Pay INR 122,500 today. This leaves at least INR 122,400 available over the next 90 days."
request_17,243849.58,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,none,"Use 3 installments of INR 95,194.67, starting 1 March 2026. This leaves at least INR 166,100 available."
request_18,462.0,affordable_later,wait,2026-09-15:3246.10,2026-09-15,none,"Pay EUR 3,246.10 in full on 15 September 2026. Paying earlier would take the balance below the EUR 1,400 minimum."
request_19,28820.0,affordable_with_plan,partial_payment,2024-09-04:28820|2024-09-15:10840,2024-09-15,none,"Pay INR 28,820 today and the remaining INR 10,840 on 15 September 2024. This completes the full request and keeps the INR 92,800 minimum protected."
request_20,5400.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 February 2026. None of the available options keeps the INR 64,500 minimum protected."
request_21,1543.35,affordable_with_plan,full_payment,2026-04-03:1574.40,2026-04-15,stop:event_1815|reduce_to:event_1816:23.50,"Stop the online backup subscription and reduce the streaming subscription to USD 23.50, then pay USD 1,574.40 today. This leaves at least USD 1,800 available."
request_22,475.46,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,none,"Use 3 installments of EUR 253.59, starting 8 December 2024. This leaves at least EUR 500 available."
request_23,9152.0,affordable_later,wait,2025-07-15:38016,2025-07-15,none,"Pay ZAR 38,016 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 27,000 minimum."
request_24,13420.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 109,600 request. Although INR 13,420 is available today, the full amount cannot be completed safely within 90 days."
request_25,1425000.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 April 2024. None of the available options keeps the IDR 23,379,100 minimum protected."
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Your current balance of IDR 100,845,250.00 comfortably covers the IDR 15,656,000.00 request after accounting for your IDR 24,768,300.00 minimum reserve and all upcoming committed expenses. You can proceed with a full payment today, leaving a safety buffer of IDR 33,499,238.39."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Your current balance of ZAR 93,141.80 comfortably covers the ZAR 6,670.00 request after accounting for your ZAR 20,500.00 minimum reserve and all upcoming committed expenses. You can proceed with a full payment today, leaving a safety buffer of ZAR 17,038.28."
request_28,427.92,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,"You currently have EUR 1,789.40, but your committed expenses between now and your next income leave insufficient buffer (EUR 427.92 available vs EUR 1,302.40 needed). After your upcoming income is received, you will be able to make the full payment on 2024-08-15. We recommend waiting until then."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Your current balance of ZAR 113,540.10 comfortably covers the ZAR 51,524.00 request after accounting for your ZAR 28,300.00 minimum reserve and all upcoming committed expenses. You can proceed with a full payment today, leaving a safety buffer of ZAR 18,924.06."
